id_cmonoc,lat,lon,id_met,province,city,lat_y,lon_y,distance
hncs,28.158561499999998,113.03796470000002,57680.0,湖南,汨罗,28.48,113.04,0.3214
gswd,33.4228034,104.8151203,56096.0,甘肃,武都,33.24,104.55,0.322
xjwu,39.7398723,75.2378655,51705.0,新疆,乌恰,39.43,75.15,0.3221
qhlh,38.7442048,93.33139140000002,52602.0,青海,冷湖,38.45,93.2,0.3222
xjjj,42.8488658,94.33583859999999,52118.0,新疆,伊吾,43.16,94.42,0.3223
haqs,32.8451411,114.02654479999998,57197.0,河南,汝南,32.58,114.21,0.3224
lnsy,41.8270792,123.57947659999998,54248.0,辽宁,沈北新区,42.02,123.32,0.3233
jsly,34.7220751,119.46743090000001,58041.0,江苏,西连岛,34.47,119.26,0.3264
xzcy,28.6612554,97.46580209999999,56434.0,西藏,察隅,28.39,97.28,0.3288
ynjp,22.7861583,103.23199029999999,56987.0,云南,金平,22.47,103.14,0.3293
ynxp,24.1024157,101.90610090000001,56869.0,云南,新平,24.04,101.58,0.332
scsp,32.6484353,103.5824128,56182.0,四川,松潘,32.4,103.36,0.3334
gsjn,35.5266959,105.7595024,53903.0,宁夏,西吉,35.58,105.43,0.3338
xjml,43.809378499999994,90.2959909,51482.0,新疆,木垒,43.5,90.17,0.334
fjxp,26.877009499999996,120.01856470000001,58754.0,福建,福鼎,27.2,120.12,0.3385
ynlc,23.8677514,100.07547240000001,56951.0,云南,临沧,23.53,100.05,0.3387
xjht,37.1620528,79.0451685,51827.0,新疆,墨玉,37.1,79.38,0.3405
hlar,49.2704929,119.7412581,50525.0,内蒙古,鄂温克族自治旗,49.09,119.45,0.3426
nmal,43.8633532,120.11290859999998,54122.0,内蒙古,阿鲁科尔沁旗,43.53,120.03,0.3435
hnmy,27.878025899999997,109.7965263,57658.0,湖南,辰溪,28.01,110.12,0.3494
fjpt,25.5021578,119.7687132,58944.0,福建,平潭,25.31,119.47,0.3552
gsjy,39.808387100000004,98.21542,52533.0,甘肃,酒泉,39.46,98.29,0.3563
ynrl,24.000486600000002,97.8453262,56835.0,云南,陇川,24.04,97.49,0.3575
yanc,37.778515899999995,107.43716359999999,53730.0,内蒙古,鄂托克前旗,38.11,107.29,0.3627
nmbt,40.6037359,110.021349,53457.0,内蒙古,达拉特旗,40.24,110.02,0.3637
xjyc,37.8503383,77.4455739,51814.0,新疆,叶城,37.55,77.24,0.364
nmer,50.576421,123.72719620000001,50445.0,内蒙古,鄂伦春自治旗,50.35,123.44,0.3657
hezj,40.828092600000005,114.90019309999998,54304.0,河北,崇礼,40.57,115.16,0.3662
gsgt,39.4099204,99.8135195,52546.0,甘肃,高台,39.22,99.5,0.3666
lhaz,29.657333500000004,91.1040304,55593.0,西藏,墨竹工卡,29.51,91.44,0.3669
lhas,29.6573423,91.1039957,55593.0,西藏,墨竹工卡,29.51,91.44,0.3669
hlwd,48.6714136,126.136174,50655.0,黑龙江,五大连池,48.3,126.11,0.3723
gzfg,27.980547899999998,107.7264379,57637.0,贵州,德江,28.15,108.06,0.3741
gsml,38.4410953,100.81766259999999,52656.0,甘肃,民乐,38.26,100.49,0.3744
qhmd,34.9201929,98.2080428,56033.0,青海,玛多,34.55,98.13,0.3783
gzsc,26.585881899999997,104.86265470000001,57800.0,贵州,纳雍,26.46,105.22,0.3789
jxja,26.7480173,115.05804750000001,58707.0,江西, 吉水,27.13,115.08,0.3826
scml,27.929401300000002,101.2753255,56459.0,四川,木里,27.56,101.16,0.387
scxc,28.937383,99.80324379999999,56357.0,四川,稻城,29.03,100.18,0.388
