id_igra,wmo,lat,lon,alt,state,name,start,end,total
USM00072363,72363,35.2331,-101.7092,1095.0,TX,AMARILLO/INTL.,1932,2020,74177
USM00072364,72364,31.8728,-106.6981,1254.0,TX,SANTA TERESA,1932,2020,73084
USM00072365,72365,35.0378,-106.6219,1619.0,NM,ALBUQUERQUE/INT.,1931,2020,81480
USM00072374,72374,35.0281,-110.7208,1489.3,AZ,WINSLOW MUNI AP,1931,1995,47510
USM00072376,72376,35.23,-111.8217,2179.0,AZ,FLAGSTAFF,1995,2020,18027
USM00072381,72381,34.9167,-117.9,705.0,CA,EDWARDS AFB,1942,2020,21405
USM00072383,72383,34.75,-118.733,1379.0,CA,SANDBURG (AUT),1932,1975,16801
USM00072385,72385,36.95,-116.05,1196.9,NV,YUCCA FLATS TEST 21,1956,1996,13621
USM00072387,72387,36.6206,-116.0278,1007.1,NV,MERCURY DESERT ROCK AP,1951,2010,26498
USM00072388,72388,36.05,-115.1833,697.2,NV,AS VEGAS,1935,2020,37894
USM00072389,72389,36.767,-119.717,100.0,CA,FRESNO AIRTERM,1929,1974,24368
USM00072391,72391,34.1167,-119.1167,4.0,CA,POINT MUGU/NAS,1948,2018,17496
USM00072393,72393,34.75,-120.5667,121.0,CA,VANDENBERG AFB,1958,2020,43223
USM00072394,72394,34.9,-120.45,73.0,CA,SANTA MARIA/PUBLIC (CAL),1947,1959,9786
USM00072401,72401,37.5,-77.333,54.0,VA,RICHMOND/BYRD FIELD,1942,1975,4674
USM00072402,72402,37.9333,-75.4833,12.2,VA,WALLOPS ISLAND,1963,2020,41988
USM00072403,72403,38.9767,-77.4858,88.4,VA,STERLING,1960,2020,44050
USM00072405,72405,38.85,-77.033,20.0,DC,WASHINGTON/NATIONAL,1919,1973,42348
USM00072407,72407,39.45,-74.6667,22.9,NJ,ATLANTIC CITY U-A,1980,1994,10118
USM00072408,72408,39.883,-75.25,9.0,PA,PHILADELPHIA INTL,1940,1975,10695
USM00072409,72409,40.03,-74.31,32.0,NJ,LAKEHURST,1946,1955,5474
USM00072412,72412,37.783,-81.117,766.0,WV,BECKLEY,1973,1973,114
USM00072414,72414,38.373,-81.6,299.0,WV,YEAGER,1972,1979,1619
USM00072421,72421,39.05,-84.667,267.0,KY,CINCINNATI/GREATER,1947,1974,1311
USM00072424,72424,37.9,-85.967,230.0,KY,FORT KNOX/GODMAN,1919,1988,5427
USM00072425,72425,38.3667,-82.55,255.1,WV,HUNTINGTON TRI STATE AP,1940,1995,35391
USM00072426,72426,39.4214,-83.8217,322.7,OH,WILMINGTON,1943,2020,18973
USM00072432,72432,38.05,-87.533,118.0,IN,EVANSVILLE REGIONAL,1929,1975,22434
USM00072433,72433,38.65,-88.9667,174.7,IL,SALEM LECKRONE AP,1954,1988,15223
USM00072434,72434,38.75,-90.367,172.0,MO,ST. LOUIS/LAMBERT,1929,1975,25609
USM00072435,72435,37.0667,-88.7667,124.1,KY,PADUCAH BARKLEY FLD,1988,1995,4390
USM00072436,72436,39.27,-85.9,203.0,IN,COLUMBUS,1943,1955,1153
USM00072438,72438,39.733,-86.267,246.0,IN,INDIANAPOLIS/I.-MUN,1932,1975,20161
USM00072440,72440,37.2347,-93.4014,391.1,MO,SPRINGFIELD/MUN.,1939,2020,30009
USM00072445,72445,38.817,-92.217,274.0,MO,COLUMBIA REGIONAL,1946,1974,19320
USM00072450,72450,37.65,-97.433,409.0,KS,WICHITA/MID-CONTINE,1930,1975,23414
USM00072451,72451,37.7614,-99.9686,786.4,KS,DODGE CITY/MUN.,1940,2020,62952
USM00072455,72455,39.1,-96.767,320.0,KS,FT RILEY/MARSHALL A,1958,1989,1222
USM00072456,72456,39.0722,-95.6306,268.1,KS,TOPEKA/MUN.,1953,2020,51547
USM00072457,72457,39.37,-94.92,274.0,KS,FT. LEAVENWORTH,1929,1953,5295
USM00072462,72462,37.433,-105.867,2299.0,CO,ALAMOSA MUNI(AWOS),1973,1975,921
USM00072464,72464,38.283,-104.5,1439.0,CO,PUEBLO MEMORIAL(AW),1973,1975,1430
USM00072465,72465,39.367,-101.7,1115.0,KS,GOODLAND/RENNER FIE,1944,1974,8448
USM00072468,72468,38.7,-104.767,1789.0,CO,FORT CARSON/BUTTS,1971,1998,5776
USM00072469,72469,39.7675,-104.8694,1611.0,CO,DENVER/STAPLETON INT.,1919,2020,81627
USM00072475,72475,38.417,-113.017,1536.0,UT,MILFORD MUNICIPAL,1973,1975,774
USM00072476,72476,39.12,-108.525,1474.0,CO,GRAND JUNCTION/WALKER FIELD,1938,2020,66399
USM00072480,72480,37.367,-118.367,1263.0,CA,BISHOP AIRPORT,1947,1975,1144
USM00072481,72481,37.3667,-120.5667,58.2,CA,CASTLE AFB,1942,1963,3294
USM00072483,72483,38.517,-121.5,8.0,CA,SACRAMENTO/EXECUTIV,1938,1974,14121
USM00072485,72485,38.0667,-117.0833,1656.0,NV,TONAPAH APRT (NEV),1942,1958,3624
USM00072486,72486,39.295,-114.8453,1907.1,NV,ELY YELLAND FLD AP,1938,1995,48437
USM00072489,72489,39.5681,-119.7967,1518.0,NV,RENO,1927,2020,45037
USM00072493,72493,37.7444,-122.2236,2.5,CA,OAKLAND/METROP. OAKLAND INT.,1928,2020,75616
USM00072497,72497,39.7833,-121.85,25.0,CA,CHICO MUNI,1942,1971,2664
USM00072501,72501,40.865,-72.8628,19.6,NY,UPTON,1994,2020,18873
USM00072503,72503,40.7833,-73.8667,6.0,NY,LA GUARDIA,1939,1972,11232
USM00072506,72506,41.25,-70.0667,14.0,MA,NANTUCKET MEM AP,1941,1970,22618
USM00072509,72509,42.367,-71.033,6.0,MA,BOSTON/LOGAN INTL,1926,1973,22316
USM00072514,72514,41.25,-76.917,160.0,PA,WILLIAMSPORT/LYCOMI,1973,1975,463
USM00072515,72515,42.217,-75.983,497.0,NY,BINGHAMTON/BROOME C,1973,1973,109
USM00072518,72518,42.6919,-73.8322,95.0,NY,ALBANY,1930,2020,70941
USM00072520,72520,40.5317,-80.2172,360.5,PA,PITTSBURGH,1934,2020,72541
USM00072524,72524,41.417,-81.867,245.0,OH,CLEVELAND,1926,1973,15064
USM00072528,72528,42.9411,-78.7189,218.4,NY,BUFFALO/GREATER BUFFALO INT.,1929,2020,75922
USM00072531,72531,40.3,-88.15,227.0,IL,RANTOUL,1922,1956,16640
USM00072532,72532,40.6667,-89.6833,205.7,IL,PEORIA GTR PEORIA AP,1956,1995,29195
USM00072533,72533,41.0,-85.2,252.0,IN,FORT WAYNE/BAER FLD,1940,1975,9534
USM00072534,72534,41.783,-87.75,190.0,IL,CHICAGO/MIDWAY,1928,1979,24985
USM00072535,72535,41.7,-86.3167,235.9,IN,SOUTH BEND ST JOSEPH,1959,1961,612
USM00072536,72536,41.6,-83.8,211.0,OH,TOLEDO EXPRESS,1939,1974,14112
USM00072537,72537,42.3167,-83.2333,187.0,MI,DETROIT METRO.,1949,1972,10601
USM00072545,72545,42.0833,-91.6167,264.9,IA,CEDAR RAPIDS ECHO SI,1954,1961,1310
USM00072546,72546,41.533,-93.65,294.0,IA,DES MOINES INTL,1939,1975,11917
USM00072548,72548,42.55,-92.4,255.0,IA,WATERLOO,1953,1959,742
USM00072557,72557,42.4,-96.383,336.0,IA,SIOUX CITY MUNI,1940,1974,9727
USM00072558,72558,41.32,-96.3669,351.5,NE,VALLEY,1926,2020,80925
USM00072562,72562,41.1328,-100.7,848.8,NE,NORTH PLATTE/LEE BIRD,1930,2020,73861
USM00072563,72563,41.22,-103.1,1341.0,NE,SYDNEY,1955,1957,677
USM00072564,72564,41.15,-104.817,1872.0,WY,CHEYENNE/WARREN AFB,1926,1973,25238
USM00072566,72566,41.8667,-103.5833,1207.0,NE,SCOTTSBLUFF AAF,1953,1961,987
USM00072569,72569,42.917,-106.467,1612.0,WY,CASPER/NATRONA COUN,1973,1975,1420
USM00072572,72572,40.7722,-111.9553,1289.0,UT,SALT LAKE CITY/INTNL UT.,1926,2020,82056
USM00072575,72575,41.1833,-112.0167,1346.0,UT,OGDEN,1948,1956,6664
USM00072576,72576,42.8167,-108.7333,1695.3,WY,LANDER HUNT FLD AP,1948,1995,34519
USM00072581,72581,40.733,-114.033,1292.0,UT,WENDOVER/AF. AUX. F,1944,1975,1089
USM00072582,72582,40.86,-115.7422,1593.0,NV,ELKO,1931,2020,29370
USM00072583,72583,40.9019,-117.8072,1309.7,NV,WINNEMUCCA MUNI AP,1935,1994,43590
USM00072591,72591,40.15,-122.25,108.0,CA,RED BLUFF MUNICIPAL,1944,1973,4637
USM00072597,72597,42.3769,-122.8822,398.2,OR,MEDFORD/MEDFORD-JACKSON COUNTY,1926,2020,77355
